#{"t_start": 1711460808.3404334, "env_id": "None"}
r,l,t
515.0,212,245.338287
387.0,382,245.777422
-354.5,501,246.336541
445.0,310,246.698114
472.5,265,247.016598
467.0,276,247.344875
489.0,236,249.391227
431.5,319,249.770362
455.5,293,250.103097
471.0,256,250.39546
456.0,292,250.702092
418.5,333,251.078128
429.0,316,251.410801
392.0,374,251.885754
424.5,333,252.259884
505.0,218,252.5249
462.0,284,252.864929
534.0,184,253.090619
513.5,205,255.137058
455.5,289,255.496045
502.0,224,255.7668
485.0,252,256.075772
504.5,209,256.342143
438.0,310,256.724679
481.5,249,257.007571
475.5,263,257.316726
399.0,360,259.479077
389.5,373,259.92921
444.0,300,260.285116
460.0,280,260.635245
481.5,251,260.935456
541.0,168,261.158555
513.5,209,261.403872
442.0,318,261.74918
340.0,436,262.233354
528.5,183,262.434282
501.0,220,262.714237
445.5,299,263.063539
360.0,412,265.095081
426.5,329,265.496551
545.5,161,265.675576
514.0,210,265.94169
458.0,294,266.274554
443.5,295,266.623832
518.5,203,266.856859
537.0,172,267.056489
390.5,381,268.969675
462.5,279,269.318774
481.5,263,269.628863
460.5,287,269.973162
491.0,238,270.241005
417.5,323,270.600262
537.0,174,270.817124
460.0,288,272.719706
494.5,233,273.162435
469.5,263,273.455228
407.5,353,273.838107
455.5,281,274.144069
460.5,273,274.443521
515.0,200,274.702141
514.0,210,274.95631
497.0,230,275.245601
481.5,251,275.558141
470.0,278,275.907657
494.0,234,276.173635
398.0,358,278.090062
492.0,228,278.37941
463.0,272,278.712761
446.5,293,279.068656
509.0,214,279.327304
502.0,222,279.587893
466.5,259,279.910486
522.5,203,280.153471
506.0,218,280.416133
395.0,364,282.389555
416.0,336,282.794881
356.5,419,283.298213
414.5,339,283.910578
407.5,341,284.25604
432.5,317,284.575601
466.5,265,284.875034
516.5,211,285.107948
464.5,281,285.443858
416.5,331,285.840068
456.5,269,287.65351
561.0,136,287.828903
460.0,272,288.13907
360.0,418,288.651639
442.5,309,289.017918
452.0,280,289.359056
489.5,247,289.658406
468.0,266,289.965915
427.5,325,291.929196
387.5,377,292.37125
505.5,221,292.628059
450.0,302,292.977546
423.5,327,293.360087
538.0,168,293.569757
373.0,388,294.025519
445.5,305,295.9721
315.5,477,296.587629
493.5,235,296.840306
550.5,157,297.020249
553.5,149,297.186576
506.0,218,297.453005
445.5,307,297.802232
543.5,171,298.001782
436.0,314,298.367744
431.5,311,298.744643
522.0,200,298.971792
521.0,196,299.205409
509.0,220,299.455758
368.0,434,301.488543
478.0,242,301.761833
554.5,153,301.944923
482.5,243,302.247358
521.0,196,302.493646
383.5,385,302.92656
481.5,261,303.251587
-194.5,501,305.322386
528.5,183,305.541529
534.0,178,305.754884
515.5,203,305.991285
402.5,353,306.496302
495.5,231,306.753119
475.0,246,307.002721
440.0,298,307.353527
498.0,234,307.601633
497.5,227,307.867792
451.0,300,308.240548
487.0,244,308.542344
482.0,246,308.833543
440.0,302,310.712636
438.0,302,311.079328
456.0,280,311.416424
382.0,386,311.8774
455.5,283,312.210267
477.5,245,312.497694
430.0,322,314.355798
444.0,304,314.722469
391.5,365,315.154471
497.0,232,315.437684
460.5,281,315.763675
494.5,239,316.039736
457.0,290,316.39634
369.5,407,317.04483
375.0,404,317.488521
494.5,233,317.74153
427.5,327,318.093174
516.0,204,318.309458
455.0,288,320.146143
410.0,346,320.561961
521.5,189,320.788727
419.0,338,321.187307
418.0,340,321.597318
532.5,183,321.809749
466.0,274,322.125992
391.5,375,324.091618
532.5,185,324.309946
548.5,163,324.505106
452.0,300,324.871119
439.0,300,325.220602
522.5,191,325.453511
539.5,165,325.653566
432.0,324,326.045791
504.5,211,326.294844
476.5,261,328.165284
457.5,281,328.490369
520.5,197,329.047098
514.0,214,329.279914
441.0,308,329.612713
477.0,254,329.895512
530.0,192,330.111951
409.5,341,330.527667
453.0,286,330.860451
407.0,358,331.309666
335.0,446,333.372828
-373.5,501,333.960624
423.0,332,334.337753
509.5,213,334.594934
343.5,431,335.089413
404.5,355,335.502325
493.0,236,337.392387
362.5,427,337.898237
387.0,382,338.347406
550.0,156,338.530371
378.5,391,338.979577
421.5,327,339.511898
414.0,340,339.877991
507.0,218,340.11078
463.0,276,340.410295
519.5,205,340.726505
508.0,212,341.052003
526.0,188,341.278443
467.5,267,343.122272
471.0,262,343.441428
438.5,303,343.814333
542.5,165,344.006008
483.0,248,344.306458
521.0,202,344.553008
455.0,292,344.895209
516.5,205,345.138956
344.0,436,347.269153
485.0,244,347.564449
479.5,255,347.863807
531.0,178,348.080162
363.5,415,348.588861
495.5,233,348.849796
552.5,153,349.038593
423.0,332,351.20163
511.0,206,351.490865
428.5,325,352.094134
437.5,307,352.4226
488.0,240,352.688596
449.5,295,353.004771
446.5,297,353.337548
473.0,260,353.992841
508.0,208,354.308463
351.5,425,355.038445
424.0,328,355.523171
392.5,367,357.741247
399.0,360,358.215633
348.0,436,358.801783
413.5,351,359.264649
383.5,375,359.748388
479.0,248,360.065839
475.0,250,361.928749
361.0,418,362.421878
-356.0,501,362.993303
430.0,312,363.368964
437.0,316,363.914274
445.0,288,364.222614
425.0,336,364.574689
424.0,320,364.9451
389.5,369,365.345728
453.5,281,365.663254
468.0,270,365.975865
532.0,180,367.988453
515.5,203,368.268008
450.0,304,368.689566
506.0,214,368.994806
457.5,287,369.361867
493.5,227,369.637609
371.0,404,370.124598
522.5,191,370.45414
428.0,328,372.786401
534.5,181,373.002833
474.5,271,373.318835
389.5,379,373.768293
440.5,303,374.121753
374.0,392,374.566654
497.0,228,374.843095
498.0,230,376.656438
420.5,351,377.178787
535.0,178,377.378465
501.0,224,377.621326
530.5,189,377.827593
423.5,333,378.20325
537.0,180,378.409847
509.5,211,378.669828
487.0,246,378.968597
492.0,242,379.268529
504.0,226,379.524663
324.0,196,379.740847
415.5,339,380.123609
407.0,344,382.030156
483.0,250,382.3197
451.5,289,382.669097
541.5,165,382.868624
499.5,229,383.139635
483.0,260,383.451103
370.5,397,383.945288
494.0,232,384.226355
431.0,324,386.138154
501.0,228,386.42078
452.5,289,386.817234
469.0,272,387.146502
357.5,417,387.676927
553.0,154,387.852462
527.5,183,388.059465
507.5,211,388.293421
464.0,272,388.582186
460.0,274,388.91664
454.0,288,389.244417
536.5,177,389.457202
445.5,299,391.386914
347.0,436,391.909666
485.0,242,392.189034
442.0,310,392.55168
-197.0,501,393.167258
481.0,250,393.483354
509.5,209,395.200038
445.0,290,395.546403
493.5,237,395.829631
444.0,302,396.194715
380.5,387,396.627819
304.0,488,397.185909
445.0,308,399.050263
424.5,335,399.406238
461.0,270,399.706263
510.5,201,399.921868
462.0,280,400.221488
492.0,236,400.481133
537.5,173,400.687819
439.0,318,401.053219
327.0,460,401.618956
394.0,372,402.051522
413.0,350,402.455291
541.0,168,402.650815
493.5,233,404.563782
470.5,269,404.896561
490.5,249,405.188776
405.5,351,405.605377
494.5,239,405.897879
480.5,253,406.197025
519.5,209,406.434216
531.5,183,406.660053
421.0,336,408.589977
534.5,177,408.822973
558.5,151,409.006001
494.5,229,409.276914
503.5,217,409.521613
461.0,282,409.904389
510.0,210,410.120692
379.0,388,410.53961
381.5,385,410.94118
523.0,202,411.158196
453.5,287,411.494363
501.0,234,411.767563
482.0,252,412.067074
536.5,175,412.283491
347.0,436,414.394484
534.5,183,414.602105
539.5,175,414.795701
508.5,217,415.078576
521.0,196,415.298821
497.0,218,415.571115
452.5,291,415.917595
390.0,384,416.359657
533.0,186,418.106522
527.0,198,418.367619
554.5,149,418.538966
478.5,259,418.855274
489.0,240,419.121477
530.0,184,419.340288
536.0,182,419.564157
449.5,295,419.920445
528.5,187,420.419118
500.0,214,420.635284
500.5,227,420.878396
518.5,205,421.101408
499.5,219,421.335896
516.0,210,421.600513
490.5,237,423.470039
482.5,237,423.756159
458.0,282,424.095959
504.0,218,424.364612
511.0,214,424.620681
499.0,226,424.87783
421.5,337,425.294576
507.5,213,425.546015
508.0,216,427.323609
444.5,297,427.706364
299.0,500,428.291979
453.5,293,428.654501
458.0,284,428.990372
543.0,168,429.189498
480.5,251,429.5031
427.0,322,431.393649
386.0,386,431.86581
484.0,246,432.253664
223.0,338,432.615061
537.0,170,432.796737
-209.0,501,433.379544
434.5,321,433.728895
472.5,263,434.061753
498.5,225,434.344494
504.0,214,434.601066
358.5,419,435.076527
426.5,323,436.956599
368.5,395,437.42263
318.5,457,437.980405
456.0,286,438.313796
486.0,250,438.603712
535.0,174,438.820051
416.0,334,439.219176
451.0,284,441.075344
524.5,197,441.298946
427.0,326,441.674506
527.0,192,441.897997
449.5,305,442.247216
503.5,221,442.507245
530.5,175,442.850916
479.0,256,443.129081
368.0,396,443.578316
378.0,386,443.98651
448.0,294,444.299418
511.0,216,444.559922
452.5,289,446.675873
503.0,220,446.957197
466.0,288,447.304974
478.5,257,447.614454
522.5,189,447.839968
518.0,200,448.086838
476.0,252,448.41958
505.0,218,448.669287
460.0,286,449.001901
491.0,240,450.998425
496.5,231,451.264642
406.0,356,451.680656
527.0,194,451.90083
511.5,209,452.146441
485.0,242,452.433771
432.5,319,452.882994
485.5,241,453.261189
513.0,208,455.490179
518.0,202,456.206009
453.0,294,456.522072
430.0,334,456.879941
437.0,310,457.214283
448.5,301,457.536827
405.0,356,457.971995
431.5,315,458.335642
507.5,215,458.585124
431.5,315,458.954655
414.5,347,459.376741
505.5,217,461.300464
333.5,473,461.856098
476.5,257,462.164008
488.0,258,462.553172
-201.5,501,463.34332
424.0,328,463.799049
479.5,255,465.977288
440.5,311,466.37135
550.5,163,466.580453
481.5,243,466.889666
520.0,204,467.146204
430.5,305,467.802217
532.5,181,468.035098
429.0,318,468.401205
503.5,225,468.667283
430.0,330,469.043403
544.0,170,469.266235
497.0,236,469.659018
512.5,211,469.925277
402.5,351,472.127997
380.5,379,472.59418
362.0,406,473.242551
483.0,246,473.585391
433.5,323,474.107699
394.5,375,474.84911
484.0,254,476.926937
426.5,333,477.391474
364.5,403,477.923667
471.0,266,478.263965
423.5,323,478.726723
435.0,320,479.224583
428.0,316,481.365711
424.5,329,481.867831
526.0,186,482.083246
436.5,315,482.448311
480.0,254,482.741454
523.5,189,482.978629
418.0,344,483.413344
376.0,398,483.921814
474.5,263,484.256796
497.0,228,484.540094
414.5,345,484.976941
441.5,295,487.271491
486.5,247,487.642931
452.0,282,488.040379
511.5,215,488.40917
498.0,228,488.76518
480.0,260,489.126876
465.0,280,489.551701
541.5,173,489.790417
-250.5,501,500.17853
-250.5,501,500.936498
-250.5,501,501.536483
-250.5,501,502.119035
-250.5,501,502.677461
-250.5,501,503.23052
-250.5,501,503.792582
-250.5,501,504.343907
-250.5,501,504.897309
-250.5,501,505.44418
-250.5,501,505.996204
-250.5,501,506.555911
-250.5,501,507.101105
-250.5,501,507.653727
-250.5,501,508.206505
-250.5,501,508.849021
-250.5,501,509.391837
-250.5,501,509.9445
-250.5,501,510.491578
-250.5,501,511.036209
519.5,199,514.119215
491.5,237,591.89329
447.0,302,696.660908
507.0,210,696.914553
502.5,227,697.320416
448.0,304,697.81629
529.0,196,698.366014
513.0,212,698.628056
464.0,280,698.944177
463.5,277,699.263915
385.0,390,699.69278
457.0,288,700.064508
522.0,198,700.315326
532.5,185,700.53257
415.0,340,702.700015
464.0,284,703.024497
486.5,245,703.322477
519.0,198,703.567947
468.0,278,703.899905
486.5,243,704.173711
485.5,253,704.488304
504.5,209,704.738593
510.0,214,706.585095
512.0,210,706.848784
458.0,274,707.171311
435.0,310,707.553447
439.5,301,707.904498
425.0,334,708.317846
407.5,351,708.75555
500.5,231,710.60073
508.5,211,710.951349
505.0,214,711.175349
520.0,202,711.402441
565.5,129,711.553297
477.0,258,711.843298
462.0,280,712.192106
446.0,298,712.553586
448.0,300,712.96933
